"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL4077232";"";"None";"289.40";"0";"3.48";"45";"CCN(Cc1cccs1)C(=O)COc1cccc(C)c1";"Ratio EC50";"'='";"42.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL4056646";"Potency index, ratio of WS-3 EC50 to compound EC50 for human TRPM8 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052716";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
"CHEMBL3959823";"";"None";"358.44";"0";"3.86";"9n";"Cc1cccc(CN(C(=O)c2ccccc2)[C@@H](C(N)=O)c2ccccc2)c1";"IC50";"'='";"870.0";"nM";"6.06";"";"";"UO_0000065";"16.91";"0.31";"2.20";"9.56";"0";"CHEMBL3874851";"Antagonist activity at human recombinant TRPM8 expressed in HEK293 cells assessed as inhibition of menthol-induced calcium increase by Fluo-4 AM based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3872272";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"CHEMBL3307715";"";"";""
"CHEMBL3944840";"";"None";"408.89";"0";"4.48";"20m";"C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1O)[C@@H](C(N)=O)c1ccccc1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"17.12";"0.33";"2.52";"8.37";"0";"CHEMBL3874851";"Antagonist activity at human recombinant TRPM8 expressed in HEK293 cells assessed as inhibition of menthol-induced calcium increase by Fluo-4 AM based assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3872272";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"CHEMBL3307715";"";"";""
"CHEMBL4644158";"";"None";"323.37";"0";"2.64";"9";"O=C(NCc1ccc(F)cc1)[C@@H]1Cc2c([nH]c3ccccc23)CN1";"IC50";"'='";"36.85";"nM";"7.43";"";"";"UO_0000065";"22.99";"0.42";"4.79";"13.06";"0";"CHEMBL4626854";"Antagonist activity at human TRPM8 expressed in HEK-293/TRPM8 exon1 K3 cells assessed as inhibition of menthol-induced current response by whole-cell voltage clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4622981";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL4649088";"";"None";"345.40";"0";"2.16";"23";"O=C1N[C@H](Cc2ccccc2)C(=O)N2Cc3[nH]c4ccccc4c3C[C@@H]12";"IC50";"'='";"6.57";"nM";"8.18";"";"";"UO_0000065";"23.69";"0.43";"6.02";"12.55";"0";"CHEMBL4626854";"Antagonist activity at human TRPM8 expressed in HEK-293/TRPM8 exon1 K3 cells assessed as inhibition of menthol-induced current response by whole-cell voltage clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4622981";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL4639783";"";"None";"395.43";"0";"3.04";"12a";"O=C(O)CC[C@H]1N[C@H](C(=O)NCc2ccc(F)cc2)Cc2c1[nH]c1ccccc21";"Inhibition";"'='";"34.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4626855";"Antagonist activity at human TRPM8 expressed in HEK-293/TRPM8 exon1 K3 cells assessed as inhibition of menthol-induced current response at 300 nM by whole-cell voltage clamp method relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4622981";"1";"Scientific Literature";"J Med Chem";"2020";"None";"";"";""
"CHEMBL2443089";"";"None";"459.30";"1";"6.40";"8j";"O=C(Nc1ccc(C(F)(F)F)cc1Cl)N1CCC2(CCc3cccc(Cl)c3O2)CC1";"IC50";"'='";"177.8";"nM";"6.75";"";"";"UO_0000065";"14.70";"0.31";"0.35";"16.24";"0";"CHEMBL2444600";"Antagonist activity at human TRPM8 expressed in CHO cells assessed as inhibition of icilin-induced 45Ca2+ uptake incubated for 10 mins prior to icilin-challenge measured after 4 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440039";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3308072";"";"";""
"CHEMBL3985375";"";"None";"420.49";"0";"2.85";"BDBM191670";"Cc1ccc(-c2csc(NC(=O)Cc3cccc4c3c(=O)n(C)c(=O)n4C)n2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"343228";"UO_0000065";"";"";"";"";"0";"CHEMBL3887577";"Radiometric Calcium Assay: The inhibition of TRPA1 receptor activation was measured as inhibition of allylisothiocyanate (AITC) induced cellular uptake of radioactive calcium. Test compounds were dissolved in DMSO to prepare 10 mM stock solution and then diluted using plain medium with 0.1% BSA and 1.8 mM CaCl2 to get desired concentration. Final concentration of DMSO in the reaction was 0.5% (v/v). Human TRPA1 expressing CHO cells were grown in F-12 DMEM medium with 10% FBS, 1% penicillin-streptomycin solution, and 400 ug/ml of G-418. Cells were seeded 24 h prior to the assay in 96 well plates so as to get 50,000 cells per well on the day of experiment. Cells were treated with test compounds for 10 min followed by addition of AITC at a final concentration of 30 micromolar and 5 uCi/ml 45Ca+2 for 3 min at 25° C. Cells were washed and lysed using buffer containing 1% Triton X-100, 0.1% deoxycholate and 0.1% SDS. Radioactivity in the lysate was measured in Packard Top count.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886359";"37";"BindingDB Database";"";"2015";"CHEMBL3308072";"";"";""
"CHEMBL3897802";"";"None";"492.45";"0";"3.70";"BDBM191682";"Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(F)c(C(F)(F)F)c4)cs3)cccc2n(C)c1=O";"IC50";"'>'";"10000.0";"nM";"";"";"343242";"UO_0000065";"";"";"";"";"0";"CHEMBL3887577";"Radiometric Calcium Assay: The inhibition of TRPA1 receptor activation was measured as inhibition of allylisothiocyanate (AITC) induced cellular uptake of radioactive calcium. Test compounds were dissolved in DMSO to prepare 10 mM stock solution and then diluted using plain medium with 0.1% BSA and 1.8 mM CaCl2 to get desired concentration. Final concentration of DMSO in the reaction was 0.5% (v/v). Human TRPA1 expressing CHO cells were grown in F-12 DMEM medium with 10% FBS, 1% penicillin-streptomycin solution, and 400 ug/ml of G-418. Cells were seeded 24 h prior to the assay in 96 well plates so as to get 50,000 cells per well on the day of experiment. Cells were treated with test compounds for 10 min followed by addition of AITC at a final concentration of 30 micromolar and 5 uCi/ml 45Ca+2 for 3 min at 25° C. Cells were washed and lysed using buffer containing 1% Triton X-100, 0.1% deoxycholate and 0.1% SDS. Radioactivity in the lysate was measured in Packard Top count.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886359";"37";"BindingDB Database";"";"2015";"CHEMBL3308072";"";"";""
"CHEMBL3897467";"";"None";"508.91";"1";"4.21";"BDBM191646";"Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(Cl)c(C(F)(F)F)c4)cs3)cccc2n(C)c1=O";"IC50";"'>'";"10000.0";"nM";"";"";"343243";"UO_0000065";"";"";"";"";"0";"CHEMBL3887577";"Radiometric Calcium Assay: The inhibition of TRPA1 receptor activation was measured as inhibition of allylisothiocyanate (AITC) induced cellular uptake of radioactive calcium. Test compounds were dissolved in DMSO to prepare 10 mM stock solution and then diluted using plain medium with 0.1% BSA and 1.8 mM CaCl2 to get desired concentration. Final concentration of DMSO in the reaction was 0.5% (v/v). Human TRPA1 expressing CHO cells were grown in F-12 DMEM medium with 10% FBS, 1% penicillin-streptomycin solution, and 400 ug/ml of G-418. Cells were seeded 24 h prior to the assay in 96 well plates so as to get 50,000 cells per well on the day of experiment. Cells were treated with test compounds for 10 min followed by addition of AITC at a final concentration of 30 micromolar and 5 uCi/ml 45Ca+2 for 3 min at 25° C. Cells were washed and lysed using buffer containing 1% Triton X-100, 0.1% deoxycholate and 0.1% SDS. Radioactivity in the lysate was measured in Packard Top count.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886359";"37";"BindingDB Database";"";"2015";"CHEMBL3308072";"";"";""
"CHEMBL3936454";"";"None";"496.44";"0";"3.60";"BDBM191720";"Cc1oc2c(c1CC(=O)Nc1nc(-c3ccc(F)c(C(F)(F)F)c3)cs1)c(=O)n(C)c(=O)n2C";"IC50";"'>'";"10000.0";"nM";"";"";"343291";"UO_0000065";"";"";"";"";"0";"CHEMBL3887577";"Radiometric Calcium Assay: The inhibition of TRPA1 receptor activation was measured as inhibition of allylisothiocyanate (AITC) induced cellular uptake of radioactive calcium. Test compounds were dissolved in DMSO to prepare 10 mM stock solution and then diluted using plain medium with 0.1% BSA and 1.8 mM CaCl2 to get desired concentration. Final concentration of DMSO in the reaction was 0.5% (v/v). Human TRPA1 expressing CHO cells were grown in F-12 DMEM medium with 10% FBS, 1% penicillin-streptomycin solution, and 400 ug/ml of G-418. Cells were seeded 24 h prior to the assay in 96 well plates so as to get 50,000 cells per well on the day of experiment. Cells were treated with test compounds for 10 min followed by addition of AITC at a final concentration of 30 micromolar and 5 uCi/ml 45Ca+2 for 3 min at 25° C. Cells were washed and lysed using buffer containing 1% Triton X-100, 0.1% deoxycholate and 0.1% SDS. Radioactivity in the lysate was measured in Packard Top count.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886359";"37";"BindingDB Database";"";"2015";"CHEMBL3308072";"";"";""
"CHEMBL391997";"CAPSAZEPINE";"None";"376.91";"0";"3.62";"2";"Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2";"IC50";"'='";"18000.0";"nM";"4.75";"";"";"UO_0000065";"12.59";"0.26";"1.12";"8.51";"0";"CHEMBL2444307";"Inhibition of TRPM8 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440039";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";""
"CHEMBL4444141";"";"None";"360.21";"0";"3.89";"4a";"COC(=O)c1ccccc1NC(=O)/C=C/c1ccc(Br)cc1";"Activity";"'='";"79.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4347283";"Antagonist activity at human TRPM8 expressed in HEK293 cells assessed as increase in calcium influx at 3 uM incubated for 10 mins prior to WS5 challenge by Fluo-4-AM dye based fluorescence assay relative to WS5";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4346663";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307715";"";"";""
"CHEMBL3979456";"";"None";"511.43";"1";"3.23";"BDBM191733";"Cn1c(=O)c2c(CC(=O)Nc3nc(-c4ccc(F)c(C(F)(F)F)c4F)cs3)ccnc2n(C)c1=O";"IC50";"'>'";"10000.0";"nM";"";"";"343309";"UO_0000065";"";"";"";"";"0";"CHEMBL3887577";"Radiometric Calcium Assay: The inhibition of TRPA1 receptor activation was measured as inhibition of allylisothiocyanate (AITC) induced cellular uptake of radioactive calcium. Test compounds were dissolved in DMSO to prepare 10 mM stock solution and then diluted using plain medium with 0.1% BSA and 1.8 mM CaCl2 to get desired concentration. Final concentration of DMSO in the reaction was 0.5% (v/v). Human TRPA1 expressing CHO cells were grown in F-12 DMEM medium with 10% FBS, 1% penicillin-streptomycin solution, and 400 ug/ml of G-418. Cells were seeded 24 h prior to the assay in 96 well plates so as to get 50,000 cells per well on the day of experiment. Cells were treated with test compounds for 10 min followed by addition of AITC at a final concentration of 30 micromolar and 5 uCi/ml 45Ca+2 for 3 min at 25° C. Cells were washed and lysed using buffer containing 1% Triton X-100, 0.1% deoxycholate and 0.1% SDS. Radioactivity in the lysate was measured in Packard Top count.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886359";"37";"BindingDB Database";"";"2015";"CHEMBL3308072";"";"";""
"CHEMBL3682545";"";"None";"572.61";"2";"6.45";"BDBM151632";"CCOC(C)(c1ccc(CN(c2ncc3ccccc3c2C)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1)C(F)(F)F";"IC50";"'='";"4.7";"nM";"8.33";"";"291692";"UO_0000065";"14.54";"0.28";"1.88";"8.60";"0";"CHEMBL3705684";"Inhibition Assay: The functional activity of compounds was determined by measuring changes in intracellular calcium concentration using a Ca2+ sensitive fluorescent dye. The changes in fluorescent signal were monitored by the cell imaging technology by Hamamatsu Photonics's Functional Drug Screening System (FDSS). Increases in intracellular Ca2+ concentration were readily detected upon activation with menthol.HEK293 cells stably expressing human TRPM8 were grown in flasks. On assay day, the culture medium was removed, and cells were washed with phosphate-buffered saline (PBS) and harvested with PBS containing 2 mM ethylenediaminetetraacetic acid, disodium salt (EDTA, 2Na). The cells were then incubated with assay buffer containing 3 uM Fura-2AM and 0.01% Pluronic F-127 for 60 min. Subsequently, suspended 20,000 to 50,000 cells per well were incubated with test compound (at varying concentrations) in each well for 20 min at 37 C.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638696";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
"CHEMBL3682546";"";"None";"516.50";"2";"5.54";"BDBM151633";"Cc1cc2ccccc2nc1N(Cc1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(C(=O)O)cc1";"IC50";"'='";"5.0";"nM";"8.30";"";"291693";"UO_0000065";"16.07";"0.31";"2.76";"8.58";"0";"CHEMBL3705684";"Inhibition Assay: The functional activity of compounds was determined by measuring changes in intracellular calcium concentration using a Ca2+ sensitive fluorescent dye. The changes in fluorescent signal were monitored by the cell imaging technology by Hamamatsu Photonics's Functional Drug Screening System (FDSS). Increases in intracellular Ca2+ concentration were readily detected upon activation with menthol.HEK293 cells stably expressing human TRPM8 were grown in flasks. On assay day, the culture medium was removed, and cells were washed with phosphate-buffered saline (PBS) and harvested with PBS containing 2 mM ethylenediaminetetraacetic acid, disodium salt (EDTA, 2Na). The cells were then incubated with assay buffer containing 3 uM Fura-2AM and 0.01% Pluronic F-127 for 60 min. Subsequently, suspended 20,000 to 50,000 cells per well were incubated with test compound (at varying concentrations) in each well for 20 min at 37 C.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638696";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
"CHEMBL3682562";"";"None";"488.57";"1";"5.18";"BDBM151649";"Cc1c(N(Cc2ccc(OC3CC3)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)ncc2ccccc12";"IC50";"'='";"35.0";"nM";"7.46";"";"291709";"UO_0000065";"15.26";"0.29";"2.28";"7.70";"0";"CHEMBL3705684";"Inhibition Assay: The functional activity of compounds was determined by measuring changes in intracellular calcium concentration using a Ca2+ sensitive fluorescent dye. The changes in fluorescent signal were monitored by the cell imaging technology by Hamamatsu Photonics's Functional Drug Screening System (FDSS). Increases in intracellular Ca2+ concentration were readily detected upon activation with menthol.HEK293 cells stably expressing human TRPM8 were grown in flasks. On assay day, the culture medium was removed, and cells were washed with phosphate-buffered saline (PBS) and harvested with PBS containing 2 mM ethylenediaminetetraacetic acid, disodium salt (EDTA, 2Na). The cells were then incubated with assay buffer containing 3 uM Fura-2AM and 0.01% Pluronic F-127 for 60 min. Subsequently, suspended 20,000 to 50,000 cells per well were incubated with test compound (at varying concentrations) in each well for 20 min at 37 C.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1075319";"Transient receptor potential cation channel subfamily M member 8";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638696";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
